gene,comparison_group,group_aa_conserved,group_T,group_N,group_dN/dS
capsid_protein_C,1I,0,0.6277110441321478,186,0.1350422250020456
capsid_protein_C,1V,0,0.29191196631974675,125,0.1184827781637971
capsid_protein_C,1IV,0,0.07355893523830082,19,0.09039753294964373
capsid_protein_C,1III,0,0.11835265627494376,24,0.4463767855579439
nonstructural_protein_NS4B,1IV,0,0.09071705312455905,11,0.02694191167802115
nonstructural_protein_NS4B,1I,0,0.35638623390366303,170,0.0196287852898018
nonstructural_protein_NS4B,1V,0,0.3019242470920758,97,0.04182859462596164
nonstructural_protein_NS4B,1III,0,0.05071913150850209,19,0.01159647120379605
nonstructural_protein_NS4A,1I,0,1.261323914840894,380,0.06813754185158033
nonstructural_protein_NS4A,1V,0,0.6159951013066463,182,0.05439391432987559
nonstructural_protein_NS4A,1IV,0,0.2669923076150158,43,0.07301460410671987
nonstructural_protein_NS4A,1III,0,0.14713233731290684,40,0.07626949948489715
nonstructural_protein_NS2B,1I,0,1.1135501605031597,343,0.05449129830906228
nonstructural_protein_NS2B,1III,0,0.12240243065573264,36,0.01892239763176848
nonstructural_protein_NS2B,1IV,0,0.31828401894700614,47,0.03385490417360576
nonstructural_protein_NS2B,1VII,0,0.0829258685846226,10,0.0445552808971849
nonstructural_protein_NS2B,1V,0,0.744360907995913,215,0.08819592532399306
membrane_glycoprotein_precursor_prM,1I,0,1.1685045302252148,406,0.0915292923762377
membrane_glycoprotein_precursor_prM,1III,0,0.13408909349762183,50,0.05343733510749538
membrane_glycoprotein_precursor_prM,1IV,0,0.2445002424936472,47,0.06492004158634859
membrane_glycoprotein_precursor_prM,1VII,0,0.08409750759435801,10,0.02309858161815188
membrane_glycoprotein_precursor_prM,1V,0,0.7352804686720397,244,0.07801234046259076
nonstructural_protein_NS2A,1I,0,1.4687274074628165,636,0.1337912121120733
nonstructural_protein_NS2A,1III,0,0.15759511715631122,73,0.07790084460282877
nonstructural_protein_NS2A,1IV,0,0.3173478677493002,60,0.07754305884670444
nonstructural_protein_NS2A,1VII,0,0.0936763905495477,14,0.0833750237658427
nonstructural_protein_NS2A,1V,0,0.8589878672148771,346,0.1195458555082484
nonstructural_protein_NS1,1I,0,1.371472670565125,851,0.078968316576346
nonstructural_protein_NS1,1III,0,0.1517638856895296,94,0.0777108504671816
nonstructural_protein_NS1,1IV,0,0.2788325048745103,65,0.08658894783929165
nonstructural_protein_NS1,1VII,0,0.06355979196026648,10,0.04786866624930852
nonstructural_protein_NS1,1V,0,0.9371198304416706,496,0.06125398423053105
nonstructural_protein_NS3,1I,0,1.3571397407787094,1192,0.03896775115104782
nonstructural_protein_NS3,1III,0,0.18733030647529728,168,0.04258482235225314
nonstructural_protein_NS3,1IV,0,0.2733755726431115,78,0.02995336382198474
nonstructural_protein_NS3,1VII,0,0.0881287866018471,19,0.04339881986402414
nonstructural_protein_NS3,1V,0,0.7707865400238485,591,0.04653477253056274
envelope_protein_E,1I,0,2.2463863172277176,1790,0.08567445379154617
envelope_protein_E,1III,0,0.43932505090175694,311,0.09832785474310811
envelope_protein_E,1IV,0,0.5741298031078128,267,0.05006902039920146
envelope_protein_E,1VII,0,0.11346890955999075,23,0.05736085664945492
envelope_protein_E,1V,0,1.03096023072704,745,0.06241842407198302
RNA-dependent_RNA_polymerase_NS5,1I,0,1.4875461233586527,1439,0.07708821407303902
RNA-dependent_RNA_polymerase_NS5,1III,0,0.1579775112435599,148,0.0618082418092866
RNA-dependent_RNA_polymerase_NS5,1IV,0,0.2932695789398014,86,0.04845021169560457
RNA-dependent_RNA_polymerase_NS5,1VII,0,0.07363852067575662,17,0.03496617716821853
RNA-dependent_RNA_polymerase_NS5,1V,0,0.8791196984102053,766,0.07129327197559068
