gene,comparison_group,group_T,group_N,group_dN/dS,group_aa_conserved
capsid_protein_C,2V,0.2896057468036809,85,0.03268579205725318,0
capsid_protein_C,2II,0.6263215298467275,166,0.07225373939580546,0
capsid_protein_C,2III,0.48934169611434436,128,0.09333231980280442,0
nonstructural_protein_NS2A,2V,0.5226970080481017,190,0.0989750184230245,0
nonstructural_protein_NS2A,2II,0.9312793064462087,282,0.0976137574664263,0
nonstructural_protein_NS2A,2III,0.5762940777067264,153,0.1345605761222682,0
nonstructural_protein_NS2B,2V,0.49261003335849635,169,0.03139206356976834,0
nonstructural_protein_NS2B,2II,0.9249579385513844,243,0.02725038458456025,0
nonstructural_protein_NS2B,2III,0.8558789622300373,217,0.0613804396004437,0
nonstructural_protein_NS2B,2I,0.16375420110593056,13,0.01291244113566984,0
nonstructural_protein_NS4A,2V,0.6584524215007355,192,0.03705786112210799,0
nonstructural_protein_NS4A,2II,1.1079487200656124,277,0.02574042578076043,0
nonstructural_protein_NS4A,2III,0.7500288465287311,201,0.07386569863796859,0
nonstructural_protein_NS4A,2I,0.14567282566586623,12,0.0160473194180715,0
membrane_glycoprotein_precursor_prM,2V,0.5976902054294708,222,0.04332464996101011,0
membrane_glycoprotein_precursor_prM,2II,1.0724620676596899,296,0.09665065234908515,0
membrane_glycoprotein_precursor_prM,2III,0.7839596448944205,239,0.05021375148060232,0
membrane_glycoprotein_precursor_prM,2I,0.10380235988210514,14,0.08441891404932475,0
nonstructural_protein_NS4B,2V,0.681337066031702,325,0.04400379429652322,0
nonstructural_protein_NS4B,2II,0.9791179263678523,371,0.05669579917579605,0
nonstructural_protein_NS4B,2III,0.8601787134810409,342,0.04107292469067543,0
nonstructural_protein_NS4B,2I,0.116060707899164,11,0.02879355247974803,0
nonstructural_protein_NS1,2V,0.689712194156965,386,0.0771832223492687,0
nonstructural_protein_NS1,2II,1.2138238871131624,547,0.08287397989092536,0
nonstructural_protein_NS1,2III,0.8101022632751603,424,0.08157252382308279,0
nonstructural_protein_NS1,2I,0.11894567900429363,16,0.05607155518077038,0
envelope_protein_E,2V,0.9989607487357468,738,0.03230298272299278,0
envelope_protein_E,2II,2.2654918802843484,1387,0.06745081896534554,0
envelope_protein_E,2IV,0.09547529079106802,14,0.03290702754979602,0
envelope_protein_E,2III,1.019566177236856,680,0.05665324095925107,0
envelope_protein_E,2I,0.12020688143998201,17,0.02826241374912303,0
RNA-dependent_RNA_polymerase_NS5,2V,0.716984849465483,637,0.04863961091583107,0
RNA-dependent_RNA_polymerase_NS5,2II,1.2287506552985186,884,0.07476677386692693,0
RNA-dependent_RNA_polymerase_NS5,2III,0.9156115288097955,672,0.06878554114589427,0
RNA-dependent_RNA_polymerase_NS5,2I,0.13035344442035526,23,0.05383179306764777,0
